Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","356","India","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1961","1961","ha","90000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1961","1961","kg/ha","500","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1961","1961","t","45000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1962","1962","ha","90000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1962","1962","kg/ha","500","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1962","1962","t","45000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1963","1963","ha","100000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1963","1963","kg/ha","500","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1963","1963","t","50000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1964","1964","ha","100000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1964","1964","kg/ha","500","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1964","1964","t","50000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1965","1965","ha","100000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1965","1965","kg/ha","500","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1965","1965","t","50000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1966","1966","ha","97000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1966","1966","kg/ha","494.8","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1966","1966","t","48000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1967","1967","ha","97000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1967","1967","kg/ha","494.8","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1967","1967","t","48000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1968","1968","ha","97000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1968","1968","kg/ha","494.8","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1968","1968","t","48000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1969","1969","ha","95000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1969","1969","kg/ha","452.6","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1969","1969","t","43000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1970","1970","ha","95000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1970","1970","kg/ha","452.6","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1970","1970","t","43000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1971","1971","ha","95000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1971","1971","kg/ha","452.6","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1971","1971","t","43000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1972","1972","ha","104000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1972","1972","kg/ha","432.7","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1972","1972","t","45000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1973","1973","ha","104000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1973","1973","kg/ha","432.7","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1973","1973","t","45000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1974","1974","ha","104000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1974","1974","kg/ha","432.7","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1974","1974","t","45000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1975","1975","ha","103573","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1975","1975","kg/ha","436.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1975","1975","t","45164","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1976","1976","ha","149327","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1976","1976","kg/ha","467.9","A","Official figure",""
